"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP3_hyp_WTs_D6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E5_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E5_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E6_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E6_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_D4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C3_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_D3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D3_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_H3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_H3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E4_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E4_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_F3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_F3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_F6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F6_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_F6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F6_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_F5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F5_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_F5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F5_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_A4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_A4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_G4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G4_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_G4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G4_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_A6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_A6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_G5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G5_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_G5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G5_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C5_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C5_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_B5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B5_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_B5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B5_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_F4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F4_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_F4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_F4_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D5_G12","cer",960,"WT_LowN_960"
